--------- beginning of main
         1789819721.343 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819724.992 18025 18403 I OD_LAB  : SPARK combo=5
         1789819724.993 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819726.025 18025 18403 I OD_LAB  : SPARK combo=5
         1789819726.026 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819726.593 18025 18403 I OD_LAB  : SPARK combo=5
         1789819726.593 18025 18403 I OD_LAB  : TAP after spark -> ring 0
         1789819727.667 18025 18403 I OD_LAB  : SPARK combo=5
         1789819727.668 18025 18403 I OD_LAB  : TAP after spark -> ring 1
         1789819727.771 19424 19424 I OD_LAB  : REC1_END
